step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
119,0,0.0,0,0,135,147,143,142,1.5032991,1.1048001,0.92995346,0.93009573,0.9066667,0.7668394,0.6948052,0.74093264
120,3,0.0,0,0,127,151,153,150,1.3288054,1.1756717,1.1671058,1.0836033,0.85333335,0.78756475,0.75974023,0.78238344
121,3,0.0,0,0,119,156,173,156,1.1543119,1.2642612,1.6414106,1.1987339,0.8,0.8134715,0.8896104,0.8134715
122,0,0.0,0,0,111,160,185,164,0.9798182,1.3351328,1.9259933,1.3522415,0.74666667,0.83419687,0.96753246,0.8549223
123,0,0.0,0,0,103,164,186,168,0.80532455,1.4060044,1.9497086,1.4289953,0.6933333,0.8549223,0.97402596,0.87564766
124,0,0.0,0,0,95,168,187,174,0.63083094,1.4768761,1.9734238,1.5441259,0.64,0.87564766,0.9805195,0.9067358
125,0,0.0,0,0,87,172,187,176,0.45633727,1.5477477,1.9734238,1.5825028,0.58666664,0.89637303,0.9805195,0.91709846
126,0,0.0,0,0,79,176,187,182,0.28184363,1.6186193,1.9734238,1.6976334,0.53333336,0.91709846,0.9805195,0.9481865
127,0,0.0,0,0,71,180,187,184,0.10734999,1.6894909,1.9734238,1.7360103,0.48,0.93782383,0.9805195,0.9585492
128,0,0.0,0,0,63,184,187,188,-0.06714365,1.7603626,1.9734238,1.812764,0.42666668,0.9585492,0.9805195,0.97927463
129,0,0.0,0,0,55,188,187,189,-0.24163729,1.8312342,1.9734238,1.8319526,0.37333333,0.97927463,0.9805195,0.98445594
130,0,0.0,0,0,47,192,187,192,-0.41613093,1.9021058,1.9734238,1.8895179,0.32,1.0,0.9805195,1.0
131,0,0.0,0,0,39,189,187,190,-0.5906246,1.8489522,1.9734238,1.851141,0.26666668,0.98445594,0.9805195,0.9896373
132,0,0.0,0,0,31,185,187,188,-0.76511824,1.7780805,1.9734238,1.812764,0.21333334,0.9637306,0.9805195,0.97927463
133,0,0.0,0,0,23,181,187,186,-0.93961185,1.7072089,1.9734238,1.7743872,0.16,0.9430052,0.9805195,0.96891195
134,0,0.0,0,0,23,175,187,180,-0.93961185,1.6009015,1.9734238,1.6592566,0.16,0.9119171,0.9805195,0.93782383
135,0,0.0,0,0,31,167,187,174,-0.76511824,1.4591582,1.9734238,1.5441259,0.21333334,0.8704663,0.9805195,0.9067358
136,0,0.0,0,0,39,159,187,166,-0.5906246,1.317415,1.9734238,1.3906183,0.26666668,0.82901555,0.9805195,0.865285
137,0,0.0,0,0,47,151,187,160,-0.41613093,1.1756717,1.9734238,1.2754877,0.32,0.78756475,0.9805195,0.83419687
138,2,0.0,0,0,55,143,179,152,-0.24163729,1.0339285,1.783702,1.1219802,0.37333333,0.746114,0.9285714,0.7927461
139,2,0.0,0,0,63,135,159,146,-0.06714365,0.8921852,1.3093972,1.0068495,0.42666668,0.7046632,0.7987013,0.761658
140,2,0.0,0,0,71,127,137,138,0.10734999,0.75044197,0.787662,0.853342,0.48,0.6632124,0.65584415,0.7202073
141,2,0.0,0,0,79,119,113,132,0.28184363,0.6086987,0.21849637,0.73821133,0.53333336,0.6217617,0.5,0.68911916
142,2,0.0,0,0,87,111,91,124,0.45633727,0.46695545,-0.30323884,0.5847038,0.58666664,0.5803109,0.35714287,0.6476684
143,0,0.0,0,0,95,103,77,118,0.63083094,0.3252122,-0.6352521,0.4695731,0.64,0.5388601,0.26623377,0.6165803
144,0,0.0,0,0,103,95,75,110,0.80532455,0.18346897,-0.68268263,0.31606558,0.6933333,0.4974093,0.25324675,0.5751295
145,0,0.0,0,0,111,87,73,104,0.9798182,0.04172573,-0.7301131,0.20093493,0.74666667,0.45595855,0.24025974,0.54404145
146,0,0.0,0,0,119,79,73,96,1.1543119,-0.10001752,-0.7301131,0.04742739,0.8,0.41450778,0.24025974,0.50259066
147,0,0.0,0,0,127,71,73,90,1.3288054,-0.24176076,-0.7301131,-0.06770326,0.85333335,0.373057,0.24025974,0.4715026
148,0,0.0,0,0,135,63,73,82,1.5032991,-0.383504,-0.7301131,-0.22121081,0.9066667,0.3316062,0.24025974,0.4300518
149,2,0.0,0,0,143,55,71,76,1.6777928,-0.5252473,-0.77754354,-0.33634147,0.96,0.29015544,0.22727273,0.39896372
150,2,0.0,0,0,-1,-1,55,68,-1.4630928,-1.51745,-1.1569873,-0.489849,0.0,0.0,0.12337662,0.35751295
151,2,-1.0,1,0,-1,-1,39,62,-1.4630928,-1.51745,-1.5364311,-0.60497963,0.0,0.0,0.019480519,0.32642487
152,0,0.0,1,0,-1,-1,37,54,-1.4630928,-1.51745,-1.5838616,-0.75848716,0.0,0.0,0.0064935065,0.2849741
153,0,0.0,1,0,-1,-1,36,48,-1.4630928,-1.51745,-1.6075768,-0.8736178,0.0,0.0,0.0,0.253886
154,3,0.0,1,0,-1,-1,36,41,-1.4630928,-1.51745,-1.6075768,-1.007937,0.0,0.0,0.0,0.21761657
155,3,0.0,1,0,-1,-1,43,38,-1.4630928,-1.51745,-1.4415702,-1.0655023,0.0,0.0,0.045454547,0.20207255
156,3,0.0,1,0,-1,-1,63,34,-1.4630928,-1.51745,-0.9672654,-1.142256,0.0,0.0,0.17532468,0.18134715
157,0,0.0,1,0,-1,-1,75,-1,-1.4630928,-1.51745,-0.68268263,-1.8138515,0.0,0.0,0.25324675,0.0
158,0,0.0,1,0,-1,-1,77,-1,-1.4630928,-1.51745,-0.6352521,-1.8138515,0.0,0.0,0.26623377,0.0
159,0,0.0,1,0,-1,-1,79,-1,-1.4630928,-1.51745,-0.58782166,-1.8138515,0.0,0.0,0.2792208,0.0
160,0,0.0,1,0,-1,-1,79,-1,-1.4630928,-1.51745,-0.58782166,-1.8138515,0.0,0.0,0.2792208,0.0
161,0,0.0,1,0,-1,-1,79,-1,-1.4630928,-1.51745,-0.58782166,-1.8138515,0.0,0.0,0.2792208,0.0
