step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,action_next,ball_vx,ball_vy,right_paddle_vy,left_paddle_vy
267,0,0.0,1,1,102,174,155,160,0.0,4.0,8.0,0.0,6.0
268,0,0.0,1,1,106,182,155,168,0.0,4.0,8.0,0.0,8.0
269,0,0.0,1,1,110,190,155,174,0.0,4.0,8.0,0.0,6.0
270,0,0.0,1,1,114,189,155,182,0.0,4.0,-1.0,0.0,8.0
271,0,0.0,1,1,118,181,155,187,0.0,4.0,-8.0,0.0,5.0
272,0,0.0,1,1,122,173,155,180,0.0,4.0,-8.0,0.0,-7.0
273,0,0.0,1,1,126,165,155,174,0.0,4.0,-8.0,0.0,-6.0
274,0,0.0,1,1,130,157,155,166,0.0,4.0,-8.0,0.0,-8.0
275,0,0.0,1,1,134,149,155,160,2.0,4.0,-8.0,0.0,-6.0
276,2,0.0,1,1,138,141,145,152,2.0,4.0,-8.0,-10.0,-8.0
277,2,0.0,1,1,136,135,123,146,2.0,-2.0,-6.0,-22.0,-6.0
278,2,0.0,1,1,132,131,103,138,0.0,-4.0,-4.0,-20.0,-8.0
279,0,0.0,1,1,128,128,89,134,0.0,-4.0,-3.0,-14.0,-4.0
280,0,0.0,1,1,124,124,87,128,0.0,-4.0,-4.0,-2.0,-6.0
281,0,0.0,1,1,120,120,85,126,0.0,-4.0,-4.0,-2.0,-2.0
282,0,0.0,1,1,116,116,85,120,0.0,-4.0,-4.0,0.0,-6.0
283,0,0.0,1,1,112,112,85,118,0.0,-4.0,-4.0,0.0,-2.0
284,0,0.0,1,1,108,108,85,112,0.0,-4.0,-4.0,0.0,-6.0
285,0,0.0,1,1,104,104,85,110,0.0,-4.0,-4.0,0.0,-2.0
286,0,0.0,1,1,100,100,85,104,0.0,-4.0,-4.0,0.0,-6.0
287,0,0.0,1,1,96,96,85,102,0.0,-4.0,-4.0,0.0,-2.0
288,0,0.0,1,1,92,92,85,96,0.0,-4.0,-4.0,0.0,-6.0
289,0,0.0,1,1,88,88,85,94,0.0,-4.0,-4.0,0.0,-2.0
290,0,0.0,1,1,84,84,85,88,0.0,-4.0,-4.0,0.0,-6.0
291,0,0.0,1,1,80,80,85,86,0.0,-4.0,-4.0,0.0,-2.0
292,0,0.0,1,1,76,76,85,80,0.0,-4.0,-4.0,0.0,-6.0
293,0,0.0,1,1,72,72,85,78,0.0,-4.0,-4.0,0.0,-2.0
294,0,0.0,1,1,68,68,85,72,0.0,-4.0,-4.0,0.0,-6.0
295,0,0.0,1,1,64,64,85,70,0.0,-4.0,-4.0,0.0,-2.0
296,0,0.0,1,1,60,60,85,64,0.0,-4.0,-4.0,0.0,-6.0
297,0,0.0,1,1,56,56,85,62,0.0,-4.0,-4.0,0.0,-2.0
298,0,0.0,1,1,52,52,85,56,0.0,-4.0,-4.0,0.0,-6.0
299,0,0.0,1,1,48,48,85,54,0.0,-4.0,-4.0,0.0,-2.0
300,0,0.0,1,1,44,44,85,48,0.0,-4.0,-4.0,0.0,-6.0
301,0,0.0,1,1,40,40,85,46,0.0,-4.0,-4.0,0.0,-2.0
302,0,0.0,1,1,36,36,85,41,0.0,-4.0,-4.0,0.0,-5.0
303,0,0.0,1,1,32,34,85,40,0.0,-4.0,-2.0,0.0,-1.0
304,0,0.0,1,1,28,37,85,42,0.0,-4.0,3.0,0.0,2.0
305,0,0.0,1,1,24,41,85,46,0.0,-4.0,4.0,0.0,4.0
306,0,0.0,1,1,20,45,85,50,3.0,-4.0,4.0,0.0,4.0
307,3,0.0,1,1,22,40,95,48,3.0,2.0,-5.0,10.0,-2.0
308,3,0.0,1,1,26,34,115,41,0.0,4.0,-6.0,20.0,-7.0
309,0,0.0,1,1,30,41,127,44,0.0,4.0,7.0,12.0,3.0
310,0,0.0,1,1,34,49,129,52,0.0,4.0,8.0,2.0,8.0
311,0,0.0,1,1,38,57,131,58,0.0,4.0,8.0,2.0,6.0
312,0,0.0,1,1,42,65,131,66,2.0,4.0,8.0,0.0,8.0
313,2,0.0,1,1,46,73,121,72,0.0,4.0,8.0,-10.0,6.0
314,0,0.0,1,1,50,81,111,80,0.0,4.0,8.0,-10.0,8.0
315,0,0.0,1,1,54,89,107,86,3.0,4.0,8.0,-4.0,6.0
316,3,0.0,1,1,58,97,117,94,3.0,4.0,8.0,10.0,8.0
317,3,0.0,1,1,62,105,139,100,0.0,4.0,8.0,22.0,6.0
318,0,0.0,1,1,66,113,153,108,0.0,4.0,8.0,14.0,8.0
319,0,0.0,1,1,70,121,157,114,3.0,4.0,8.0,4.0,6.0
320,3,0.0,1,1,74,129,159,122,0.0,4.0,8.0,2.0,8.0
321,0,0.0,1,1,78,137,163,128,0.0,4.0,8.0,4.0,6.0
322,0,0.0,1,1,82,145,165,136,2.0,4.0,8.0,2.0,8.0
323,2,0.0,1,1,86,153,155,142,0.0,4.0,8.0,-10.0,6.0
324,0,0.0,1,1,90,161,147,150,0.0,4.0,8.0,-8.0,8.0
325,0,0.0,1,1,94,169,143,156,0.0,4.0,8.0,-4.0,6.0
326,0,0.0,1,1,98,177,143,164,0.0,4.0,8.0,0.0,8.0
