step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y
357,2,0.0,1,1,65,80,95
358,0,0.0,1,1,73,72,83
359,0,0.0,1,1,81,64,81
360,2,0.0,1,1,89,56,69
361,0,0.0,1,1,97,48,55
362,0,0.0,1,1,105,40,53
363,0,0.0,1,1,113,34,51
364,0,0.0,1,1,121,41,51
365,0,0.0,1,1,129,49,51
366,3,0.0,1,1,137,57,61
367,0,0.0,1,1,133,59,69
368,0,0.0,1,1,125,59,73
369,0,0.0,1,1,117,59,73
370,0,0.0,1,1,109,59,73
371,0,0.0,1,1,101,59,73
372,0,0.0,1,1,93,59,73
373,0,0.0,1,1,85,59,73
374,0,0.0,1,1,77,59,73
375,0,0.0,1,1,69,59,73
376,0,0.0,1,1,61,59,73
377,0,0.0,1,1,53,59,73
378,0,0.0,1,1,45,59,73
379,0,0.0,1,1,37,59,73
380,0,0.0,1,1,29,59,73
381,0,0.0,1,1,21,59,73
382,0,0.0,1,1,25,53,73
383,0,0.0,1,1,33,45,73
384,0,0.0,1,1,41,37,73
385,0,0.0,1,1,49,35,73
386,0,0.0,1,1,57,42,73
387,2,0.0,1,1,65,50,63
388,0,0.0,1,1,73,58,55
389,0,0.0,1,1,81,66,51
390,3,0.0,1,1,89,74,61
391,3,0.0,1,1,97,82,81
392,3,0.0,1,1,105,90,103
393,0,0.0,1,1,113,98,115
394,0,0.0,1,1,121,106,117
395,0,0.0,1,1,129,113,119
396,3,0.0,1,1,137,121,129
397,0,0.0,1,1,130,121,139
398,0,0.0,1,1,118,117,143
399,0,0.0,1,1,106,113,143
400,0,0.0,1,1,94,109,143
401,0,0.0,1,1,82,105,143
402,0,0.0,1,1,70,101,143
403,0,0.0,1,1,58,97,143
404,0,0.0,1,1,46,93,143
405,0,0.0,1,1,34,89,143
406,0,0.0,1,1,22,85,143
407,0,0.0,1,1,28,81,143
408,2,0.0,1,1,40,77,133
409,2,0.0,1,1,52,73,113
410,0,0.0,1,1,64,69,101
411,0,0.0,1,1,76,65,97
412,0,0.0,1,1,88,61,97
413,0,0.0,1,1,100,57,97
414,0,0.0,1,1,112,53,97
415,2,0.0,1,1,124,49,87
416,2,0.0,1,1,136,45,67
417,2,0.0,1,1,148,41,45
418,2,-1.0,2,1,-1,-1,38
419,0,0.0,2,1,-1,-1,36
420,3,0.0,2,1,-1,-1,36
421,3,0.0,2,1,-1,-1,39
422,3,0.0,2,1,-1,-1,55
423,3,0.0,2,1,-1,-1,75
424,3,0.0,2,1,-1,-1,99
425,0,0.0,2,1,-1,-1,113
426,0,0.0,2,1,-1,-1,115
427,0,0.0,2,1,-1,-1,117
428,0,0.0,2,1,-1,-1,117
429,0,0.0,2,1,-1,-1,117
430,0,0.0,2,1,-1,-1,117
431,0,0.0,2,1,-1,-1,117
432,0,0.0,2,1,-1,-1,117
433,0,0.0,2,1,-1,-1,117
434,0,0.0,2,1,81,113,117
435,0,0.0,2,1,85,109,117
436,0,0.0,2,1,89,105,117
437,0,0.0,2,1,93,101,117
438,0,0.0,2,1,97,97,117
439,2,0.0,2,1,101,93,107
440,0,0.0,2,1,105,89,97
441,0,0.0,2,1,109,85,93
442,0,0.0,2,1,113,81,93
443,0,0.0,2,1,117,77,93
444,0,0.0,2,1,121,73,93
445,2,0.0,2,1,125,69,83
446,0,0.0,2,1,129,65,73
447,0,0.0,2,1,133,61,71
448,0,0.0,2,1,137,57,71
449,0,0.0,2,1,141,53,71
450,0,0.0,2,1,145,49,71
451,2,0.0,2,1,149,45,61
452,2,0.0,2,1,-1,-1,41
453,0,-1.0,3,1,-1,-1,37
454,0,0.0,3,1,-1,-1,36
455,0,0.0,3,1,-1,-1,36
456,3,0.0,3,1,-1,-1,36
457,3,0.0,3,1,-1,-1,45
458,3,0.0,3,1,-1,-1,65
459,0,0.0,3,1,-1,-1,77
460,0,0.0,3,1,-1,-1,79
461,0,0.0,3,1,-1,-1,81
462,0,0.0,3,1,-1,-1,81
463,0,0.0,3,1,-1,-1,81
464,0,0.0,3,1,-1,-1,81
465,0,0.0,3,1,-1,-1,81
466,0,0.0,3,1,-1,-1,81
467,0,0.0,3,1,-1,-1,81
468,0,0.0,3,1,-1,-1,81
469,0,0.0,3,1,81,113,81
470,0,0.0,3,1,85,109,81
471,0,0.0,3,1,89,105,81
472,0,0.0,3,1,93,101,81
473,0,0.0,3,1,97,97,81
474,0,0.0,3,1,101,93,81
475,0,0.0,3,1,105,89,81
476,0,0.0,3,1,109,85,81
477,0,0.0,3,1,113,81,81
478,0,0.0,3,1,117,77,81
479,0,0.0,3,1,121,73,81
480,2,0.0,3,1,125,69,71
481,2,0.0,3,1,129,65,51
482,0,0.0,3,1,133,61,40
483,0,0.0,3,1,137,57,39
484,0,0.0,3,1,141,53,38
485,0,0.0,3,1,145,49,38
486,0,0.0,3,1,149,45,38
487,3,0.0,3,1,-1,-1,45
488,3,-1.0,4,1,-1,-1,65
489,0,0.0,4,1,-1,-1,77
490,0,0.0,4,1,-1,-1,81
491,0,0.0,4,1,-1,-1,81
492,0,0.0,4,1,-1,-1,81
493,0,0.0,4,1,-1,-1,81
494,0,0.0,4,1,-1,-1,81
495,0,0.0,4,1,-1,-1,81
496,0,0.0,4,1,-1,-1,81
497,0,0.0,4,1,-1,-1,81
498,0,0.0,4,1,-1,-1,81
499,0,0.0,4,1,-1,-1,81
500,0,0.0,4,1,-1,-1,81
501,0,0.0,4,1,-1,-1,81
502,0,0.0,4,1,-1,-1,81
503,0,0.0,4,1,-1,-1,81
504,0,0.0,4,1,81,113,81
505,0,0.0,4,1,85,109,81
506,0,0.0,4,1,89,105,81
507,0,0.0,4,1,93,101,81
508,0,0.0,4,1,97,97,81
509,0,0.0,4,1,101,93,81
510,0,0.0,4,1,105,89,81
511,0,0.0,4,1,109,85,81
512,0,0.0,4,1,113,81,81
513,0,0.0,4,1,117,77,81
514,0,0.0,4,1,121,73,81
515,0,0.0,4,1,125,69,81
516,0,0.0,4,1,129,65,81
517,2,0.0,4,1,133,61,75
518,2,0.0,4,1,137,57,57
519,0,0.0,4,1,137,57,45
520,0,0.0,4,1,133,61,43
521,0,0.0,4,1,129,65,41
522,0,0.0,4,1,125,69,41
523,0,0.0,4,1,121,73,41
524,0,0.0,4,1,117,77,41
525,0,0.0,4,1,113,81,41
526,0,0.0,4,1,109,85,41
527,0,0.0,4,1,105,89,41
528,0,0.0,4,1,101,93,41
529,0,0.0,4,1,97,97,41
530,0,0.0,4,1,93,101,41
531,0,0.0,4,1,89,105,41
532,0,0.0,4,1,85,109,41
533,0,0.0,4,1,81,113,41
534,0,0.0,4,1,77,117,41
535,0,0.0,4,1,73,121,41
536,0,0.0,4,1,69,125,41
537,0,0.0,4,1,65,129,41
538,0,0.0,4,1,61,133,41
539,0,0.0,4,1,57,137,41
540,0,0.0,4,1,53,141,41
541,0,0.0,4,1,49,145,41
542,0,0.0,4,1,45,149,41
543,0,0.0,4,1,41,153,41
544,0,0.0,4,1,37,157,41
545,0,0.0,4,1,33,161,41
546,0,0.0,4,1,29,165,41
547,0,0.0,4,1,25,169,41
548,0,0.0,4,1,21,173,41
549,0,0.0,4,1,21,171,41
550,0,0.0,4,1,25,163,41
551,0,0.0,4,1,29,155,41
552,3,0.0,4,1,33,147,51
553,3,0.0,4,1,37,139,71
554,0,0.0,4,1,41,131,87
555,0,0.0,4,1,45,123,91
556,0,0.0,4,1,49,115,93
557,0,0.0,4,1,53,107,93
558,0,0.0,4,1,57,99,93
559,0,0.0,4,1,61,91,93
560,0,0.0,4,1,65,83,93
561,0,0.0,4,1,69,75,93
562,0,0.0,4,1,73,67,93
563,0,0.0,4,1,77,59,93
564,0,0.0,4,1,81,51,93
565,0,0.0,4,1,85,43,93
566,0,0.0,4,1,89,35,93
567,0,0.0,4,1,93,36,93
568,0,0.0,4,1,97,44,93
569,0,0.0,4,1,101,52,93
570,0,0.0,4,1,105,60,93
571,0,0.0,4,1,109,68,93
572,3,0.0,4,1,113,76,103
573,0,0.0,4,1,117,84,117
574,0,0.0,4,1,121,92,119
575,0,0.0,4,1,125,100,121
576,0,0.0,4,1,129,108,121
577,0,0.0,4,1,133,115,121
578,3,0.0,4,1,137,123,131
579,3,0.0,4,1,141,131,153
580,0,0.0,4,1,145,139,163
581,0,0.0,4,1,149,147,167
582,0,0.0,4,1,-1,-1,167
583,0,-1.0,5,1,-1,-1,167
584,0,0.0,5,1,-1,-1,167
585,0,0.0,5,1,-1,-1,167
586,0,0.0,5,1,-1,-1,167
587,0,0.0,5,1,-1,-1,167
588,0,0.0,5,1,-1,-1,167
589,0,0.0,5,1,-1,-1,167
590,0,0.0,5,1,-1,-1,167
591,0,0.0,5,1,-1,-1,167
592,0,0.0,5,1,-1,-1,167
593,0,0.0,5,1,-1,-1,167
594,0,0.0,5,1,-1,-1,167
595,0,0.0,5,1,-1,-1,167
596,0,0.0,5,1,-1,-1,167
597,0,0.0,5,1,-1,-1,167
598,0,0.0,5,1,-1,-1,167
599,0,0.0,5,1,81,117,167
