step,action,reward,score_left,score_right,partita,ball_x,ball_y,right_paddle_y,left_paddle_y
76,2,0.0,1,0,2,-1.0,-1.0,95.0,86.0
77,2,0.0,1,0,2,-1.0,-1.0,117.0,80.0
78,2,0.0,1,0,2,-1.0,-1.0,141.0,72.0
79,0,0.0,1,0,2,81.0,117.0,153.0,122.0
80,0,0.0,1,0,2,85.0,121.0,155.0,126.0
81,1,0.0,1,0,2,89.0,125.0,147.0,130.0
82,1,0.0,1,0,2,93.0,129.0,127.0,134.0
83,1,0.0,1,0,2,97.0,133.0,105.0,138.0
84,1,0.0,1,0,2,101.0,137.0,83.0,142.0
85,1,0.0,1,0,2,105.0,141.0,59.0,146.0
86,0,0.0,1,0,2,109.0,145.0,47.0,150.0
87,2,0.0,1,0,2,113.0,149.0,53.0,154.0
88,2,0.0,1,0,2,117.0,153.0,73.0,158.0
89,2,0.0,1,0,2,121.0,157.0,95.0,162.0
90,2,0.0,1,0,2,125.0,161.0,117.0,166.0
91,2,0.0,1,0,2,129.0,165.0,141.0,170.0
92,2,0.0,1,0,2,133.0,169.0,163.0,174.0
93,0,0.0,1,0,2,137.0,173.0,177.0,178.0
94,0,0.0,1,0,2,137.0,173.0,179.0,178.0
95,0,0.0,1,0,2,133.0,169.0,181.0,174.0
96,1,0.0,1,0,2,129.0,165.0,175.0,170.0
97,0,0.0,1,0,2,125.0,161.0,165.0,166.0
98,0,0.0,1,0,2,121.0,157.0,163.0,162.0
99,0,0.0,1,0,2,117.0,153.0,163.0,158.0
100,0,0.0,1,0,2,113.0,149.0,163.0,154.0
101,1,0.0,1,0,2,109.0,145.0,153.0,150.0
102,1,0.0,1,0,2,105.0,141.0,133.0,146.0
103,1,0.0,1,0,2,101.0,137.0,111.0,142.0
104,0,0.0,1,0,2,97.0,133.0,99.0,138.0
105,0,0.0,1,0,2,93.0,129.0,95.0,134.0
106,2,0.0,1,0,2,89.0,125.0,105.0,130.0
107,2,0.0,1,0,2,85.0,121.0,125.0,126.0
108,2,0.0,1,0,2,81.0,117.0,145.0,122.0
109,0,0.0,1,0,2,77.0,113.0,167.0,118.0
110,0,0.0,1,0,2,73.0,109.0,173.0,114.0
111,1,0.0,1,0,2,69.0,105.0,163.0,110.0
112,1,0.0,1,0,2,65.0,101.0,145.0,106.0
113,0,0.0,1,0,2,61.0,97.0,133.0,102.0
114,0,0.0,1,0,2,57.0,93.0,129.0,98.0
115,1,0.0,1,0,2,53.0,89.0,119.0,94.0
116,0,0.0,1,0,2,49.0,85.0,109.0,90.0
117,0,0.0,1,0,2,45.0,81.0,105.0,86.0
118,1,0.0,1,0,2,41.0,77.0,95.0,82.0
119,0,0.0,1,0,2,37.0,73.0,81.0,78.0
120,0,0.0,1,0,2,33.0,69.0,79.0,74.0
121,0,0.0,1,0,2,29.0,65.0,77.0,70.0
122,2,0.0,1,0,2,25.0,61.0,87.0,66.0
123,2,0.0,1,0,2,21.0,57.0,107.0,62.0
124,0,0.0,1,0,2,21.0,51.0,123.0,56.0
125,2,0.0,1,0,2,25.0,43.0,137.0,50.0
126,0,0.0,1,0,2,29.0,35.0,147.0,42.0
127,0,0.0,1,0,2,33.0,36.0,151.0,41.0
128,1,0.0,1,0,2,37.0,44.0,141.0,48.0
129,1,0.0,1,0,2,41.0,52.0,121.0,54.0
130,0,0.0,1,0,2,45.0,60.0,105.0,62.0
131,1,0.0,1,0,2,49.0,68.0,91.0,68.0
132,1,0.0,1,0,2,53.0,76.0,71.0,76.0
133,0,0.0,1,0,2,57.0,84.0,57.0,82.0
134,1,0.0,1,0,2,61.0,92.0,45.0,90.0
135,0,0.0,1,0,2,65.0,100.0,38.0,96.0
136,0,0.0,1,0,2,69.0,108.0,36.0,104.0
137,2,0.0,1,0,2,73.0,116.0,39.0,110.0
138,2,0.0,1,0,2,77.0,124.0,55.0,118.0
139,2,0.0,1,0,2,81.0,132.0,77.0,124.0
140,2,0.0,1,0,2,85.0,140.0,99.0,132.0
141,2,0.0,1,0,2,89.0,148.0,123.0,138.0
142,2,0.0,1,0,2,93.0,156.0,145.0,146.0
143,0,0.0,1,0,2,97.0,164.0,159.0,152.0
144,0,0.0,1,0,2,101.0,172.0,161.0,160.0
145,1,0.0,1,0,2,105.0,180.0,157.0,166.0
146,1,0.0,1,0,2,109.0,188.0,139.0,174.0
147,0,0.0,1,0,2,113.0,191.0,127.0,180.0
148,0,0.0,1,0,2,117.0,183.0,123.0,187.0
149,0,0.0,1,0,2,121.0,175.0,123.0,182.0
150,0,0.0,1,0,2,125.0,167.0,123.0,174.0
