step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
115,2,0.0,0,0,125,118,107,114,1.2930483,0.17283824,-0.0300944,0.010294915,0.8630137,0.61340207,0.44966444,0.59585494
116,2,0.0,0,0,129,125,127,122,1.3917879,0.30092266,0.5068179,0.16422774,0.89041096,0.6494845,0.58389264,0.6373057
117,0,0.0,0,0,133,133,139,128,1.4905275,0.44730484,0.8289652,0.27967736,0.91780823,0.69072163,0.66442955,0.6683938
118,0,0.0,0,0,137,141,141,136,1.589267,0.593687,0.88265646,0.43361017,0.94520545,0.73195875,0.67785233,0.7098446
119,0,0.0,0,0,135,147,143,142,1.5398973,0.7034737,0.93634766,0.5490598,0.9315069,0.7628866,0.6912752,0.74093264
120,0,0.0,0,0,127,152,143,150,1.3424181,0.7949625,0.93634766,0.7029926,0.8767123,0.7886598,0.6912752,0.78238344
121,2,0.0,0,0,119,156,153,156,1.144939,0.86815363,1.2048038,0.8184422,0.82191783,0.80927837,0.75838923,0.8134715
122,0,0.0,0,0,111,160,161,164,0.94745976,0.94134474,1.4195687,0.97237504,0.7671233,0.8298969,0.81208056,0.8549223
123,0,0.0,0,0,103,164,165,168,0.74998057,1.0145358,1.5269512,1.0493414,0.7123288,0.8505155,0.8389262,0.87564766
124,0,0.0,0,0,95,168,165,174,0.5525014,1.087727,1.5269512,1.1647911,0.65753424,0.87113404,0.8389262,0.9067358
125,0,0.0,0,0,87,172,165,176,0.35502222,1.160918,1.5269512,1.2032743,0.60273975,0.8917526,0.8389262,0.91709846
126,0,0.0,0,0,79,176,165,182,0.15754306,1.234109,1.5269512,1.3187239,0.5479452,0.91237116,0.8389262,0.9481865
127,0,0.0,0,0,71,180,165,184,-0.039936114,1.3073002,1.5269512,1.3572072,0.49315068,0.9329897,0.8389262,0.9585492
128,0,0.0,0,0,63,184,165,188,-0.23741528,1.3804913,1.5269512,1.4341736,0.43835616,0.9536083,0.8389262,0.97927463
129,0,0.0,0,0,55,188,165,189,-0.43489447,1.4536824,1.5269512,1.4534152,0.38356164,0.97422683,0.8389262,0.98445594
130,0,0.0,0,0,47,192,165,192,-0.63237363,1.5268735,1.5269512,1.51114,0.32876712,0.9948454,0.8389262,1.0
131,0,0.0,0,0,39,189,165,190,-0.8298528,1.4719801,1.5269512,1.4726567,0.2739726,0.97938144,0.8389262,0.9896373
132,0,0.0,0,0,31,185,165,188,-1.027332,1.398789,1.5269512,1.4341736,0.21917808,0.9587629,0.8389262,0.97927463
133,1,0.0,0,0,23,181,159,186,-1.2248112,1.325598,1.3658775,1.3956903,0.16438356,0.9381443,0.7986577,0.96891195
134,1,0.0,0,0,23,175,141,180,-1.2248112,1.2158114,0.88265646,1.2802407,0.16438356,0.9072165,0.67785233,0.93782383
135,0,0.0,0,0,31,167,129,174,-1.027332,1.0694292,0.5605091,1.1647911,0.21917808,0.8659794,0.59731543,0.9067358
136,0,0.0,0,0,39,159,127,166,-0.8298528,0.92304695,0.5068179,1.0108583,0.2739726,0.82474226,0.58389264,0.865285
137,0,0.0,0,0,47,151,125,160,-0.63237363,0.77666473,0.45312664,0.89540863,0.32876712,0.78350514,0.5704698,0.83419687
138,0,0.0,0,0,55,143,125,152,-0.43489447,0.6302826,0.45312664,0.7414758,0.38356164,0.742268,0.5704698,0.7927461
139,0,0.0,0,0,63,135,125,146,-0.23741528,0.48390037,0.45312664,0.6260262,0.43835616,0.7010309,0.5704698,0.761658
140,1,0.0,0,0,71,127,115,138,-0.039936114,0.3375182,0.18467051,0.47209337,0.49315068,0.6597938,0.5033557,0.7202073
141,1,0.0,0,0,79,119,95,132,0.15754306,0.19113602,-0.35224175,0.35664377,0.5479452,0.6185567,0.3691275,0.68911916
142,0,0.0,0,0,87,111,79,124,0.35502222,0.044753823,-0.78177154,0.20271094,0.60273975,0.57731956,0.26174498,0.6476684
143,0,0.0,0,0,95,103,75,118,0.5525014,-0.10162836,-0.889154,0.08726133,0.65753424,0.53608245,0.23489933,0.6165803
144,0,0.0,0,0,103,95,73,110,0.74998057,-0.24801055,-0.9428452,-0.0666715,0.7123288,0.49484536,0.22147651,0.5751295
145,1,0.0,0,0,111,87,63,104,0.94745976,-0.39439273,-1.2113013,-0.18212111,0.7671233,0.45360824,0.15436241,0.54404145
146,0,0.0,0,0,119,79,55,96,1.144939,-0.54077494,-1.4260663,-0.33605394,0.82191783,0.41237113,0.10067114,0.50259066
147,0,0.0,0,0,127,71,51,90,1.3424181,-0.6871571,-1.5334487,-0.45150355,0.8767123,0.371134,0.0738255,0.4715026
148,0,0.0,0,0,135,63,51,82,1.5398973,-0.8335393,-1.5334487,-0.6054364,0.9315069,0.3298969,0.0738255,0.4300518
149,0,0.0,0,0,135,63,51,76,1.5398973,-0.8335393,-1.5334487,-0.720886,0.9315069,0.3298969,0.0738255,0.39896372
150,0,0.0,0,0,127,71,51,76,1.3424181,-0.6871571,-1.5334487,-0.720886,0.8767123,0.371134,0.0738255,0.39896372
151,0,0.0,0,0,119,79,51,82,1.144939,-0.54077494,-1.5334487,-0.6054364,0.82191783,0.41237113,0.0738255,0.4300518
152,0,0.0,0,0,111,87,51,90,0.94745976,-0.39439273,-1.5334487,-0.45150355,0.7671233,0.45360824,0.0738255,0.4715026
153,0,0.0,0,0,103,95,51,96,0.74998057,-0.24801055,-1.5334487,-0.33605394,0.7123288,0.49484536,0.0738255,0.50259066
154,0,0.0,0,0,95,103,51,104,0.5525014,-0.10162836,-1.5334487,-0.18212111,0.65753424,0.53608245,0.0738255,0.54404145
155,2,0.0,0,0,87,111,61,110,0.35502222,0.044753823,-1.2649926,-0.0666715,0.60273975,0.57731956,0.1409396,0.5751295
156,2,0.0,0,0,79,119,81,118,0.15754306,0.19113602,-0.72808033,0.08726133,0.5479452,0.6185567,0.2751678,0.6165803
157,0,0.0,0,0,71,127,93,124,-0.039936114,0.3375182,-0.405933,0.20271094,0.49315068,0.6597938,0.3557047,0.6476684
158,0,0.0,0,0,63,135,95,132,-0.23741528,0.48390037,-0.35224175,0.35664377,0.43835616,0.7010309,0.3691275,0.68911916
159,0,0.0,0,0,55,143,97,138,-0.43489447,0.6302826,-0.29855052,0.47209337,0.38356164,0.742268,0.38255033,0.7202073
160,2,0.0,0,0,47,151,107,146,-0.63237363,0.77666473,-0.0300944,0.6260262,0.32876712,0.78350514,0.44966444,0.761658
161,0,0.0,0,0,39,159,115,152,-0.8298528,0.92304695,0.18467051,0.7414758,0.2739726,0.82474226,0.5033557,0.7927461
162,0,0.0,0,0,31,167,119,160,-1.027332,1.0694292,0.29205295,0.89540863,0.21917808,0.8659794,0.5302013,0.83419687
